alpha,astar_time_s,astar_carbon_g,astar_success,dqn_time_s,dqn_carbon_g,dqn_success
0.0,235.4641703003093,910.4167509273442,1.0,285.35028792964414,1152.2335885622679,0.25
0.1,234.4979193088039,910.5875027810129,1.0,279.10453434047974,1126.2899053356984,0.3
0.2,234.4979193088039,910.5875027810129,1.0,198.72600796057452,729.3313130452797,0.05
0.3,232.49471860079097,913.1549967056537,1.0,252.1228934256636,1084.616706660183,0.15
0.4,231.42801387415247,914.9420344579603,1.0,241.05732731435197,1046.5928443285436,0.15
0.5,230.7494294521827,917.1065144060207,1.0,198.72600796057452,729.3313130452797,0.05
0.6,229.57718153380975,922.3216363961523,1.0,262.01896251355015,1087.6985116035073,0.15
0.7,229.49060769538073,922.9049126498697,1.0,247.05922121292005,1068.6635329411654,0.1
0.8,228.91411427303666,930.3131014548878,1.0,205.56262431292367,731.0069187663834,0.05
0.9,228.7643077127237,934.4249133856853,1.0,nan,nan,0.0
1.0,228.57172218455193,941.8960189039923,1.0,nan,nan,0.0
